"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8052190,"Isakkinte Ithihasam","Isakkinte Ithihasam","Drama",135,2019,"en",6
8054238,"Kinar","Kinar","Drama",142,2018,"en",6
8054608,"God Exists, Her Name Is Petrunya","Gospod postoi, imeto i' e Petrunija","Drama",100,2019,"en",7
8055324,"Blanche","Blanche","Comedy",67,2018,"en",6
8055880,"The Waldheim Waltz","Waldheims Walzer","Documentary",93,2018,"en",8
8055880,"The Waldheim Waltz","Waldheims Walzer","History",93,2018,"en",8
8055888,"Mard Ko Dard Nahin Hota","Mard Ko Dard Nahin Hota","Comedy",134,2018,"en",7
8055888,"Mard Ko Dard Nahin Hota","Mard Ko Dard Nahin Hota","Action",134,2018,"en",7
8056032,"Nocturnal Times","Pathirakalam","Drama",133,2018,"en",8
8056032,"Nocturnal Times","Pathirakalam","Crime",133,2018,"en",8
8058874,"We Summon the Darkness","We Summon the Darkness","Horror",91,2019,"en",5
8058874,"We Summon the Darkness","We Summon the Darkness","Music",91,2019,"en",5
8058874,"We Summon the Darkness","We Summon the Darkness","Thriller",91,2019,"en",5
8059382,"Robbery","Robbery","Drama",93,2018,"en",4
8059382,"Robbery","Robbery","Crime",93,2018,"en",4
8060328,"Invasion","Vtorzhenie","Action",134,2020,"en",6
8060328,"Invasion","Vtorzhenie","Sci",134,2020,"en",6
8060328,"Invasion","Vtorzhenie","Fi",134,2020,"en",6
8060408,"Brother of the Year","Nong, Pee, Teerak","Drama",124,2018,"en",7
8060408,"Brother of the Year","Nong, Pee, Teerak","Comedy",124,2018,"en",7
8060408,"Brother of the Year","Nong, Pee, Teerak","Romance",124,2018,"en",7
8060540,"Dandupalya 3","Dandupalya 3","Thriller",102,2018,"en",6
8060540,"Dandupalya 3","Dandupalya 3","Crime",102,2018,"en",6
8060588,"Ka Kha Ga Gha","Ka Kha Ga Gha","Comedy",136,2018,"en",8
